OXYGEN,SILCAT,NO2+NO3,PHSPHT,Label
134.9755,156.0954,36.7128,2.5713,predicted
118.11,159.11915,37.725,2.6606,predicted
29.9525,103.748,41.64295,3.0321,predicted
189.982,4.48485,4.42725,0.3677,predicted
154.213,141.8955,35.6127,2.35395,predicted
26.816,108.84765,41.016,3.0251,predicted
187.5815,1.5719,0.0477,0.0721,predicted
51.901,68.00335,36.4018,2.6868,predicted
49.217,41.11085,27.60175,1.9966,predicted
150.7615,149.3266,35.66055,2.5014,predicted
127.16,43.51575,27.5108,1.96955,predicted
189.661,1.47785,0.67265,0.1362,predicted
27.13,93.37045,41.43115,2.9798,predicted
147.0325,151.8249,35.9759125,2.49865,predicted
66.368,142.3528,40.34945,2.87605,predicted
152.007,149.36725,35.2946,2.4878,predicted
204.4915,1.7935,0.72595,0.13035,predicted
148.5255,150.04385,35.7263,2.50105,predicted
192.0725,13.0486,12.4127,0.9058,predicted
189.4305,1.0978,0.0077,0.0485,predicted
195.545,1.57755,0.00905,0.0644,predicted
107.402,157.152,36.9375916667,2.57562666667,predicted
43.726,110.327,41.36215,2.99235,predicted
197.6795,6.4071,7.0207,0.54795,predicted
199.0425,4.95865,4.82945,0.40825,predicted
150.7035,149.75665,35.36665,2.45475,predicted
185.4155,12.69765,12.6286,0.89465,predicted
85.707,148.2365,39.74065,2.82325,predicted
142.512,153.4613,36.18405,2.53,predicted
139.559,91.3108,36.6197,2.5507,predicted
107.0965,158.2073,37.40985,2.6186,predicted
39.498,73.9611,37.7381,2.78145,predicted
152.166,149.2324,35.6046,2.46835,predicted
216.6395,1.47235,0.0124,0.1367,predicted
188.464,1.0366,0.028,0.01615,predicted
202.104,5.8759,6.0062,0.51565,predicted
39.3115,76.8375,38.28765,2.79385,predicted
141.0425,150.89415,36.12345,2.49456666667,predicted
-77.1635,155.2356,38.8466,2.70965,predicted
136.2105,4.83925,0.0186,0.0799,predicted
174.7535,22.55795,18.64195,1.3213,predicted
113.347,158.85515,37.6437,2.6589,predicted
152.4755,148.74415,35.67225,2.4232,predicted
29.4915,90.1041,41.0269,3.00975,predicted
109.492,46.6237,29.18695,2.1001,predicted
152.5825,148.82115,35.757,2.48935,predicted
150.553,149.7189,35.64695,2.4969,predicted
204.0755,1.8327,1.1943,0.12895,predicted
149.5365,1.10425,0.0095,0.0959,predicted
168.728,28.39435,21.16865,1.536575,predicted
185.063,20.2897,17.24005,1.2275,predicted
42.637,72.5132,37.623,2.76435,predicted
62.456,132.4589,40.9565,2.92825,predicted
30.0205,89.2688,40.14955,2.90595,predicted
149.759582143,151.834246667,35.9659686905,2.50449,predicted
28.7075,85.02865,40.8469,2.9768,predicted
30.602,96.4791,41.36245,3.0051,predicted
77.5325,55.1578,33.59485,2.50525,predicted
65.2645,62.35465,35.181,2.57215,predicted
203.326,8.31995,8.67975,0.6346,predicted
33.9375,84.45175,40.14595,2.9221,predicted
3.3175,92.5957,40.9448,2.9965,predicted
36.9125,47.26365,28.89885,2.12035,predicted
32.969,97.7888,41.60655,3.02755,predicted
50.604,112.4164,41.1266,2.97205,predicted
204.596,4.54355,4.86565,0.41105,predicted
